name,address,latitude,longitude
McDonald's Section 3 DT,"Lot 293, Seksyen 3, Persiaran Masjid dan Jalan RU 3/94, 40000, Bandar Shah Alam, Selangor, Malaysia",3.074425,101.510356
McDonald's Subang DT,"No.1 Jalan SS15/3A, 47500, Subang Jaya, Selangor, Malaysia",3.079099,101.586025
McDonald's Tesco Puchong DT,"Lot No. 7 & 9, Ground Floor, Tesco Hypermarket, Jalan Bandar 3, Pusat Bandar Puchong, 47100, Puchong, Selangor, Malaysia",3.0345,101.615917
McDonald's Senawang DT,"Lot 2726, Jalan Taman Komersil Senawang 1, Taman Komersil Senawang, 70450, Seremban, Negeri Sembilan, Malaysia",2.703444,101.985719
McDonald's AEON Taman University,"LG08, Jusco Shopping Center, No. 4, Jalan Pendidikan, Taman Universiti, 81300, Skudai, Johor, Malaysia",1.542728,103.629389
McDonald's Bandar Sri Damansara DT,"Lot PT21552 & PT21553, Mukim Sungai Buloh, Persiaran Perdana, 52200, Bandar Sri Damansara, Kuala Lumpur, Malaysia",3.195119,101.607868
McDonald's Petronas Skudai DT,"Lot No. PTD13309 & PTD52136, KM11 Jalan Skudai, Mukim Tebrau, 81200, Johor Bahru, Johor, Malaysia",1.500472,103.697733
McDonald's Pandan Mewah DT,"Bangunan Restoran McDonald's, Jalan Mewah Utara, 68000, Ampang, Kuala Lumpur, Malaysia",3.128172,101.7627
McDonald's Puchong Permai DT,"Lot 32426 Jalan Permai 2, Puchong Permai, 47100, Puchong, Selangor, Malaysia",3.008989,101.598959
McDonald's Setiawangsa DT,"Lot 16794 & 16795, Jalan Taman Setiawangsa, Taman Setiawangsa, 54200, , Kuala Lumpur, Malaysia",3.178094,101.743708
McDonald's Juru DT,"No. 1689, Jalan Perusahaan, Highway Auto City, Kawasan Perusahaan 4, North-South Highway, Juru Interchange, MK 11, Seberang Perai Tengah Perai 4, 13600, Perai, Pulau Pinang, Malaysia",5.337349,100.431264
McDonald's Berjaya Times Square,"Lot 05 - 93, 93A, No. 1, Jalan Imbi, 55100, , Kuala Lumpur, Malaysia",3.14245,101.710417
McDonald's Sri Kerteh DT,"Lot PT 7132, Mukim Kerteh, 24000, Daerah Kemaman, Terengganu, Malaysia",4.506461,103.442883
McDonald's Kota Damansara DT,"Lot B, Jalan Cecawi 6/18A, Kota Damansara, 47810, Petaling Jaya, Selangor, Malaysia",3.160462,101.57424
McDonald's Kota Kemuning,"No. 1, Jalan Anggerik Vanilla 31/93, Seksyen 31, Kota Kemuning, 40460, Shah Alam, Selangor, Malaysia",3.002944,101.540956
McDonald's Karamunsing,"Lot G - 21,23,25 and 26 part, Complex Karamunsing, Jalan Karamunsing, 88000, Kota Kinabalu, Sabah, Malaysia",5.970889,116.075122
McDonald's Caltex Sunway Prai DT,"Lot Nos. 5730, 5731 & 5732, Jalan Jelawat, Mukim 1, 13700, Pusat Bandar Seberang Jaya, Pulau Pinang, Malaysia",5.399763,100.400278
McDonald's Kuchai Lama DT,"1/116B Off Jalan Kuchai Lama, Kuchai Entrepreneurs Park, 58200, , Kuala Lumpur, Malaysia",3.087342,101.690278
McDonald's Taman Connaught DT,"Lot 18113, Jalan Cendikiawan, 56000, Mukim Petaling, Kuala Lumpur, Malaysia",3.081361,101.731984
McDonald's Bukit Tinggi DT,"Lot 1, Persiaran Batu Nilam, Bandar Baru Bukit Tinggi, 41200, Klang, Selangor, Malaysia",3.007895,101.432691
